text,label
"BREAKING!!! Secret documents PROVE The central bank covered up the economy, and they spark nationwide debate, sources CLAIM. Doctors HATE this: vaccine rollout can spark nationwide debate, and The education department doesn't want you to know!!!",FAKE
"Doctors HATE this: climate policy can cause widespread controversy, and A pharmaceutical giant doesn't want you to know!!! SHOCKING: You won't believe what A major tech company is hiding about social media privacy — reshape industry standards, insiders reveal!!!",FAKE
"Government data released this week shows immigration reform has trigger a major shift in public opinion, prompting a policy response from The education department. A new report from A research institute details how national security could influence upcoming elections over the next fiscal year.",REAL
"The city council reported quarterly earnings that spark nationwide debate, meeting analyst expectations for election integrity. Local officials confirmed that A major tech company has begun work to affect millions of citizens as part of an ongoing initiative on social media privacy. Government data released this week shows public health has influence upcoming elections, prompting a policy response from The government.",REAL
"EXPOSED: A leading university secretly plans to spark nationwide debate using election integrity while media stays SILENT. EXPOSED: A research institute secretly plans to change how funding is allocated using public health while media stays SILENT. SHOCKING: You won't believe what The government is hiding about energy prices — change how funding is allocated, insiders reveal!!! ALERT: A global corporation caught RED-HANDED manipulating the economy to influence upcoming elections, anonymous whistleblower says.",FAKE
"Government data released this week shows energy prices has lead to new regulations, prompting a policy response from A leading university. Researchers at The city council published a study in a peer-reviewed journal showing vaccine rollout may reshape industry standards, the report said. Local officials confirmed that A major tech company has begun work to cause widespread controversy as part of an ongoing initiative on immigration reform. Researchers at A research institute published a study in a peer-reviewed journal showing artificial intelligence regulation may spark nationwide debate, the report said.",REAL
"According to a statement released by A leading university, the agency plans to change how funding is allocated following months of review on public health. Local officials confirmed that A research institute has begun work to influence upcoming elections as part of an ongoing initiative on climate policy. According to a statement released by The central bank, the agency plans to cause widespread controversy following months of review on national security. Researchers at The health ministry published a study in a peer-reviewed journal showing national security may change how funding is allocated, the report said.",REAL
"Miracle discovery: the economy will trigger a major shift in public opinion, but The education department is trying to BAN it from the public!!! SHOCKING: You won't believe what A research institute is hiding about immigration reform — reshape industry standards, insiders reveal!!! SHOCKING: You won't believe what A major tech company is hiding about immigration reform — affect millions of citizens, insiders reveal!!! Miracle discovery: national security will influence upcoming elections, but A leading university is trying to BAN it from the public!!!",FAKE
"ALERT: A global corporation caught RED-HANDED manipulating energy prices to lead to new regulations, anonymous whistleblower says. Miracle discovery: the economy will cause widespread controversy, but The government is trying to BAN it from the public!!! Miracle discovery: social media privacy will trigger a major shift in public opinion, but A leading university is trying to BAN it from the public!!! ALERT: The health ministry caught RED-HANDED manipulating public health to influence upcoming elections, anonymous whistleblower says.",FAKE
Local officials confirmed that A research institute has begun work to trigger a major shift in public opinion as part of an ongoing initiative on energy prices. A new report from The government details how energy prices could affect millions of citizens over the next fiscal year. A global corporation officials held a press conference to clarify recent developments regarding social media privacy and outline plans to change how funding is allocated. A new report from The central bank details how climate policy could spark nationwide debate over the next fiscal year.,REAL
